estimand	server	server_backend	scenario	path_profile	phase	load	metric	planned	committed	valid	geometric_mean	status	quality_labels
fixed_treatment_server	xquicperf	iouring	datagram	loopback	confirmatory	16	validated_operations_per_second	24	24	24	8953.1558073332344	complete	
fixed_treatment_server	xquicperf	iouring	download	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	686696422.56743968	complete	
fixed_treatment_server	xquicperf	iouring	flow_control	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	151169912.73711357	complete	
fixed_treatment_server	xquicperf	iouring	loss_recovery	loss_recovery_v1	confirmatory	16	validated_body_bits_per_second	24	24	24	118209408.38795319	complete	
fixed_treatment_server	xquicperf	iouring	multistream_download	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	581292910.18676019	complete	
fixed_treatment_server	xquicperf	iouring	multistream_upload	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	104093128.57903901	complete	
fixed_treatment_server	xquicperf	iouring	reqresp	loopback	confirmatory	16	validated_operations_per_second	24	24	24	3487.1088896403462	complete	
fixed_treatment_server	xquicperf	iouring	resumed_connect	loopback	confirmatory	16	validated_operations_per_second	24	24	24	287.21374411669404	complete	
fixed_treatment_server	xquicperf	iouring	small_payload_pps	loopback	confirmatory	16	validated_operations_per_second	24	24	24	17988.98944903884	complete	
fixed_treatment_server	xquicperf	iouring	stream_churn	loopback	confirmatory	16	validated_operations_per_second	24	24	24	3384.5904036705201	complete	
fixed_treatment_server	xquicperf	iouring	upload	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	108553941.79402874	complete	
fixed_treatment_server	xquicperf	iouring	zero_rtt_reqresp	loopback	confirmatory	16	validated_operations_per_second	24	24	24	240.22531967927131	complete	
